over_num,balls_left_in_over,overs_left,wickets_left,score,striker_sr,non_striker_sr,best_bowler
3,0,16,10,25,225.0,50.0,UT Yadav
4,0,15,9,34,100.0,200.0,M Morkel
5,0,14,9,39,250.0,0.0,IK Pathan
6,0,13,9,48,100.0,200.0,V Sehwag
7,-1,12,9,50,50.0,0.0,AB Agarkar
8,-1,11,9,56,66.66666666666666,75.0,S Nadeem
9,0,10,9,60,50.0,50.0,AB Agarkar
10,0,9,9,69,160.0,0.0,UT Yadav
11,0,8,9,83,100.0,300.0,AB Agarkar
12,0,7,8,94,100.0,150.0,IK Pathan
13,0,6,8,104,133.33333333333331,200.0,M Morkel
14,0,5,8,116,133.33333333333331,233.33333333333334,S Nadeem
15,0,4,8,123,66.66666666666666,166.66666666666669,UT Yadav
16,0,3,8,131,150.0,100.0,IK Pathan
17,0,2,8,150,366.66666666666663,266.66666666666663,M Morkel
18,-1,1,8,160,133.33333333333331,100.0,AB Agarkar
19,-1,0,6,169,133.33333333333331,0.0,UT Yadav
0,-1,19,10,9,33.33333333333333,175.0,JA Morkel
1,-1,18,8,13,33.33333333333333,0.0,MM Sharma
2,-1,17,8,22,114.28571428571428,0.0,CH Morris
3,-1,16,8,26,33.33333333333333,100.0,MM Sharma
4,0,15,7,30,66.66666666666666,0.0,CH Morris
5,0,14,6,32,0.0,50.0,MM Sharma
6,0,13,6,35,40.0,100.0,JA Morkel
7,0,12,6,43,66.66666666666666,200.0,DJ Bravo
8,0,11,6,49,133.33333333333331,66.66666666666666,RA Jadeja
9,0,10,6,58,100.0,175.0,R Ashwin
10,0,9,5,62,150.0,100.0,RA Jadeja
11,0,8,5,67,75.0,100.0,R Ashwin
12,0,7,4,71,100.0,0.0,RA Jadeja
13,0,6,3,73,25.0,50.0,R Ashwin
14,0,5,3,80,100.0,125.0,RA Jadeja
15,0,4,2,82,0.0,0.0,R Ashwin
16,0,3,1,83,0.0,0.0,JA Morkel
17,3,2,0,83,0.0,0.0,DJ Bravo
0,0,19,10,6,125.0,50.0,GJ Maxwell
1,0,18,10,15,166.66666666666669,133.33333333333331,Mohammed Shami
2,-1,17,9,24,140.0,0.0,Arshdeep Singh
3,0,16,8,30,0.0,500.0,Mohammed Shami
4,0,15,8,38,100.0,150.0,GJ Maxwell
5,0,14,7,43,0.0,100.0,Arshdeep Singh
6,0,13,7,46,50.0,50.0,GJ Maxwell
7,0,12,7,53,175.0,0.0,CJ Jordan
8,0,11,7,60,150.0,50.0,GJ Maxwell
9,0,10,7,70,225.0,50.0,M Ashwin
10,0,9,7,80,266.66666666666663,33.33333333333333,DJ Hooda
11,0,8,7,83,66.66666666666666,33.33333333333333,Ravi Bishnoi
12,0,7,7,93,125.0,50.0,M Ashwin
13,0,6,6,102,100.0,33.33333333333333,Ravi Bishnoi
14,0,5,6,114,220.00000000000003,100.0,M Ashwin
15,0,4,5,117,50.0,100.0,Mohammed Shami
16,0,3,4,122,50.0,100.0,CJ Jordan
17,0,2,4,144,433.3333333333333,300.0,Arshdeep Singh
18,0,1,4,156,200.0,0.0,Mohammed Shami
19,0,0,4,176,380.0,100.0,CJ Jordan
